wallet_address,total_estimated_airdrop,current_points,initial_airdrop_amount
BoRmdDF4VEWQDiWEUoAimdo6373xFX8WokP6BCfLWR8d,1903877.4088692826,205,0
BpM8FQEstGQeqNFH2vUawXmAcWAQ632dE83RPY6YpkYf,1903877.4088692826,205,0
Bq7y9WCr9tQZ4qrVrJCdFjVSU79WRquBYn7bvJ75L5td,2270474.2413098398,355,0
BqgtAD9P8gy9j7yvGUMnneEd6HQmYofUe2BCZL2ny5XB,1903877.4088692826,205,0
Br7LkF7eSSzbrHkk5YpNSqzE1BXn5MoDMYvgY8MudVcZ,928720.6872533086,100,0
BrGcSRLWCc1B8HB4FWYDGR3SeyGGKCYfWtcAeCerrNQY,1857441.3745066172,200,0
BsuexNy95YT5aQRSTamYWTgRG8Wx7RX5hpUN3DN7KKJL,0,100,0
C4pfVBWLX2vDT1D3AfVigs1RT6mP8CKtV5bGPhbdqTvs,205,205,0
C97gih5febjkzRS1TMUc1HgK7JjQM8ixYHvEGCcYpd4L,1933377.7059364205,305,0
CBbiN9DsEN8NmpuFGPbv6TPpALP4XB2tDJXgTYSHqVA7,1393081.030879963,150,0
